price,engine_volume,engine_power,engine_type,Коробка,Кузов,Привод,Пробег,Руль,Состояние,Таможня,Цвет,год выпуска
700 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,97 000,Левый,Не требует ремонта,Растаможен,чёрный,2007
555 000,2.4,190,Бензин,автоматическая,седан,передний,185 054,Левый,Не требует ремонта,Растаможен,красный,2007
1 025 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,83 993,Левый,Не требует ремонта,Растаможен,серебристый,2007
1 499 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,46 000,Левый,Не требует ремонта,Растаможен,серый,2014
1 855 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,80 000,Левый,Не требует ремонта,Растаможен,чёрный,2015
580 000,2.0,155,Бензин,механическая,седан,передний,260 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
1 775 000,2.4,188,Бензин,вариатор,внедорожник 5 дв.,полный,51 000,Левый,Не требует ремонта,Растаможен,серый,2014
1 197 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,200 265,Левый,Не требует ремонта,Растаможен,серый,2012
690 000,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,332 000,Левый,Не требует ремонта,Растаможен,серебристый,2004
499 999,2.0,155,Бензин,автоматическая,седан,передний,160 000,Левый,Не требует ремонта,Растаможен,серый,2005
499 000,2.0,155,Бензин,автоматическая,седан,передний,194 349,Левый,Не требует ремонта,Растаможен,красный,2007
1 459 000,3.5,249,Бензин,автоматическая,внедорожник 5 дв.,полный,237 316,Левый,Не требует ремонта,Растаможен,коричневый,2013
1 299 000,2.0,150,Бензин,механическая,внедорожник 5 дв.,полный,165 693,Левый,Не требует ремонта,Растаможен,белый,2013
2 390 000,1.5,193,Бензин,вариатор,внедорожник 5 дв.,полный,11 000,Левый,Не требует ремонта,Растаможен,белый,2019
819 000,2.4,201,Бензин,автоматическая,седан,передний,178 000,Левый,Не требует ремонта,Растаможен,чёрный,2008
775 000,2.4,170,Бензин,автоматическая,внедорожник 5 дв.,полный,242 825,Левый,Не требует ремонта,Растаможен,серый,2007
1 109 990,2.0,150,Бензин,автоматическая,внедорожник 5 дв.,полный,198 000,Левый,Не требует ремонта,Растаможен,чёрный,2012
750 000,2.4,201,Бензин,автоматическая,седан,передний,297 219,Левый,Не требует ремонта,Растаможен,белый,2008
1 070 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,138 080,Левый,Не требует ремонта,Растаможен,серебристый,2009
840 000,2.4,200,Бензин,автоматическая,седан,передний,214 000,Левый,Не требует ремонта,Растаможен,белый,2010
420 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,250 000,Левый,Не требует ремонта,Растаможен,чёрный,2007
320 000,2.2,150,Бензин,автоматическая,компактвэн,передний,398 545,Левый,Не требует ремонта,Растаможен,зелёный,1998
749 000,2.4,190,Бензин,автоматическая,седан,передний,187 000,Левый,Не требует ремонта,Растаможен,коричневый,2006
449 000,1.8,140,Бензин,роботизированная,хэтчбек 5 дв.,передний,231 905,Левый,Не требует ремонта,Растаможен,оранжевый,2008
999 000,2.4,166,Бензин,автоматическая,внедорожник 5 дв.,полный,176 160,Левый,Не требует ремонта,Растаможен,чёрный,2010
